symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
DVN,2021Q1_1332487,德文能源,2017,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,116550774000,20.65,72.61,$26.65,能源,309,0.46,3120069,68174000,4.25,10000.0,3120069,4.25,4.25,1,25.61,16.13,20.57,29.56,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332487
BABA,2021Q1_1332472,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.0,85000,19272000,1.2,10000.0,85000,1.2,1.2,1,270.83,222.72,245.98,-12.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332472
IFF,2021Q1_1332500,国际香料香精,2001,NYSE,化工,10130,-,特种化学制品,10130020,231752443000,2.03,33.72,$144.00,基础材料,101,0.05,135000,18847000,1.18,10000.0,135000,1.18,1.18,1,141.31,105.08,129.42,11.27,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332500
NRG,2021Q1_1332511,NRG能源,2017,NYSE,公共事业 - 独立发电商,20710,-,独立发电商,20710010,63632812000,5.56,8.89,$40.24,公用事业,207,0.17,405000,15281000,0.95,10000.0,405000,0.95,0.95,1,43.93,35.78,39.85,0.98,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332511
PSFE,2021Q1_1332514,Paysafe Ltd,0,NYSE,软件,31110,-,软件和信息技术服务,31110010,50686080000,-22.52,0.0,$10.84,科技,311,0.16,1125000,15188000,0.95,10000.0,1125000,0.95,0.95,1,13.5,13.5,13.5,-19.7,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332514
PXD,2021Q1_1332515,先锋资源,2009,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,232316797000,-2.87,30.31,$147.29,能源,309,0.03,80000,12706000,0.79,10000.0,80000,0.79,0.79,1,169.27,113.48,141.84,3.84,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332515
RPLA,2021Q1_1332517,Replay Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,2205790000,-8.85,-8.85,$9.48,金融服务,103,2.5,900000,8595000,0.54,10000.0,900000,0.54,0.54,1,10.44,9.53,10.15,-6.6,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332517
PNTM,2021Q1_1332516,Pontem Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,5410931000,-1.02,0.0,$9.71,金融服务,103,0.06,50000,495000,0.03,10000.0,50000,0.03,0.03,1,9.84,0.0,9.22,5.31,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332516
JWSM,2021Q1_1332501,Jaws Mustang Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,8189082000,-1.71,0.0,$9.79,金融服务,103,0.02,25000,254000,0.02,10000.0,25000,0.02,0.02,1,9.89,9.86,9.88,-0.91,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332501
DNZ.U,2021Q1_1332486,D and Z Media Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-2.44,0.0,$10.00,金融服务,103,0.0,25000,247000,0.02,10000.0,25000,0.02,0.02,1,10.56,9.83,10.19,-1.86,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332486
ROT.U,2021Q1_1332518,Rotor Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,1.45,0.0,$10.53,金融服务,103,0.0,40000,400000,0.02,10000.0,40000,0.02,0.02,1,10.77,9.96,10.33,1.94,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332518
ANAC.U,2021Q1_1332477,安纳克尔制药,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-0.7,0.0,$9.98,金融服务,103,0.0,25000,250000,0.02,10000.0,25000,0.02,0.02,1,10.34,9.92,10.09,-1.09,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332477
LMACU,2021Q1_1332502,Liberty Media Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-2.93,0.0,$10.61,金融服务,103,0.0,10000,107000,0.01,10000.0,10000,0.01,0.01,1,13.63,10.71,12.2,-13.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332502
SPAQ.U,2021Q1_1332520,Spartan Acquisition Corp III,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-0.89,0.0,$10.07,金融服务,103,0.0,10000,100000,0.01,10000.0,10000,0.01,0.01,1,10.9,9.89,10.37,-2.89,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332520
