symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
WLTW,2021Q1_1136774,Willis Towers Watson PLC,2016,NAS,保险,10340,-,保险中介,10340050,185050628000,-6.45,6.0,$221.91,金融服务,103,1.94,2500000,572200000,4.57,10000.0,2500000,4.57,4.57,1,234.6,199.23,218.07,1.76,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136774
IFF,2021Q1_1136740,国际香料香精,2001,NYSE,化工,10130,-,特种化学制品,10130020,231752443000,2.03,33.72,$144.00,基础材料,101,0.84,2100000,293181000,2.34,10000.0,2100000,2.34,2.34,1,141.31,105.08,129.42,11.27,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136740
NUVB,2021Q1_1136751,Nuvation Bio Inc,0,NYSE,生物科技,20610,-,生物科技,20610010,11924552000,-27.98,-27.61,$8.47,医疗保健,206,3.96,8623021,82384000,0.66,10000.0,8623021,0.66,0.66,1,14.57,9.0,11.15,-24.04,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136751
CGEM,2021Q1_1136727,Cullinan Oncology Inc,0,NAS,生物科技,20610,-,生物科技,20610010,7520581000,-25.56,0.0,$26.73,医疗保健,206,4.22,1835560,71699000,0.57,10000.0,1835560,0.57,0.57,1,53.42,28.0,40.59,-34.15,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136727
RTPYU,2021Q1_1136761,Reinvent Technology Partners Y,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-0.87,0.0,$10.23,金融服务,103,0.0,6000000,60240000,0.48,10000.0,6000000,0.48,0.48,1,10.17,9.93,10.06,1.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136761
AJAX,2021Q1_1136717,Ajax I,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,5725137000,-1.59,-16.1,$9.90,金融服务,103,5.59,5000000,51300000,0.41,10000.0,5000000,0.41,0.41,1,13.6,10.08,11.65,-15.02,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136717
TBA,2021Q1_1136767,Thoma Bravo Advantage,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,9031131000,5.58,0.0,$10.98,金融服务,103,3.14,4000000,41800000,0.33,10000.0,4000000,0.33,0.33,1,12.95,10.22,11.6,-5.34,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136767
AVAN,2021Q1_1136723,Avanti Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,4724538000,-2.4,-5.16,$9.75,金融服务,103,5.33,4000000,39080000,0.31,10000.0,4000000,0.31,0.31,1,11.01,9.7,10.39,-6.16,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136723
HZON,2021Q1_1136738,Horizon Acquisition Corp II,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,4141154000,-3.94,-5.52,$9.76,金融服务,103,5.33,3499998,35700000,0.28,10000.0,3499998,0.28,0.28,1,11.48,10.12,10.66,-8.44,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136738
RTP,2021Q1_1136759,Reinvent Technology Partners,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,5539096000,-1.58,-14.01,$9.94,金融服务,103,4.06,3500000,35525000,0.28,10000.0,3500000,0.28,0.28,1,15.7,10.1,12.16,-18.26,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136759
LMACA,2021Q1_1136746,Liberty Media Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,3780864000,-0.39,0.0,$10.17,金融服务,103,5.57,3200000,32352000,0.26,10000.0,3200000,0.26,0.26,1,11.42,10.11,10.52,-3.33,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136746
BSN,2021Q1_1136725,Broadstone Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,2431149000,-0.4,-1.89,$9.86,金融服务,103,7.78,2970000,29076000,0.23,10000.0,2970000,0.23,0.23,1,10.39,9.67,10.11,-2.47,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136725
AGCB,2021Q1_1136720,Altimeter Growth Corp 2,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,3862226000,-7.01,0.0,$10.22,金融服务,103,4.36,2500000,25950000,0.21,10000.0,2500000,0.21,0.21,1,13.93,10.29,11.95,-14.48,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136720
IIAC,2021Q1_1136742,Investindustrial Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,3204161000,-1.05,0.0,$9.85,金融服务,103,4.17,2100000,20475000,0.16,10000.0,2100000,0.16,0.16,1,10.75,9.67,10.27,-4.09,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136742
DGNU,2021Q1_1136729,Dragoneer Growth Opportunities Corp III,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,3327366000,-2.82,0.0,$10.00,金融服务,103,3.88,2000000,20220000,0.16,10000.0,2000000,0.16,0.16,1,10.35,10.0,10.09,-0.89,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136729
FNCH,2021Q1_1136733,Finch Therapeutics Group Inc,0,NAS,生物科技,20610,-,生物科技,20610010,4982174000,-1.4,0.0,$16.25,医疗保健,206,2.55,1208159,18870000,0.15,10000.0,1208159,0.15,0.15,1,21.32,15.54,16.98,-4.3,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136733
RTPZ,2021Q1_1136760,Reinvent Technology Partners Z,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,1851397000,-0.5,0.0,$9.96,金融服务,103,3.48,1000000,10010000,0.08,10000.0,1000000,0.08,0.08,1,14.24,10.01,11.66,-14.58,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136760
SVFA,2021Q1_1136764,SVF Investment Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,4806241000,-4.74,0.0,$9.85,金融服务,103,1.33,1000000,10210000,0.08,10000.0,1000000,0.08,0.08,1,13.67,10.07,11.82,-16.67,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1136764
GOOG,2021Q1_1136719,谷歌,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,11184424851000,14.31,49.86,$2625.33,通信服务,308,0.04,290930,601827000,4.8,265.58,211350,3.49,3.49,1,2128.31,1728.24,1986.11,32.18,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 265.58 %,2021Q1_1136719
FB,2021Q1_1136731,Facebook Inc,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,6314883120000,11.9,26.1,$344.46,通信服务,308,0.05,1297000,382005000,3.05,40.98,377000,0.89,0.89,1,294.53,245.64,269.28,27.92,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 40.98 %,2021Q1_1136731
VRNT,2021Q1_1136770,Verint Systems Inc,0,NAS,软件,31110,-,软件基础构架,31110030,17679974000,-11.39,22.96,$42.07,科技,311,4.68,3039798,138280000,1.1,32.74,749798,0.27,0.27,1,52.0,33.64,44.84,-6.18,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 32.74 %,2021Q1_1136770
INTC,2021Q1_1136739,英特尔,1992,NAS,半导体,31130,-,半导体,31130020,1456034858000,-13.63,13.42,$55.81,科技,311,0.58,23305334,1491541000,11.91,28.15,5119765,2.62,2.62,1,65.78,49.67,59.63,-6.41,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 28.15 %,2021Q1_1136739
PEAK,2021Q1_1136736,Healthpeak Properties Inc,2017,NYSE,房地产信托投资基金,10420,-,REIT - 医疗机构,10420010,122844983000,7.33,18.69,$35.28,房地产,104,0.92,4966911,157650000,1.26,24.17,966711,0.25,0.25,1,32.49,28.42,30.38,16.13,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 24.17 %,2021Q1_1136736
QRVO,2021Q1_1136755,科沃,0,NAS,半导体,31130,-,半导体,31130020,137363044000,-0.98,14.84,$190.95,科技,311,4.7,5224466,954510000,7.62,17.67,784371,1.14,1.14,1,186.03,162.9,175.58,8.75,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 17.67 %,2021Q1_1136755
SSNC,2021Q1_1136762,SS&C Technologies Holdings Inc,2014,NAS,软件,31110,-,软件应用,31110020,122253629000,0.6,2.13,$73.98,科技,311,1.49,3806892,265988000,2.12,15.16,501108,0.28,0.28,1,71.85,62.88,67.52,9.57,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 15.16 %,2021Q1_1136762
MU,2021Q1_1136749,美光,0,NAS,半导体,31130,-,半导体,31130020,559857901000,-14.79,2.31,$76.92,科技,311,0.48,5423416,478400000,3.82,3.86,201416,0.14,0.14,1,94.76,74.05,84.89,-9.39,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 3.86 %,2021Q1_1136749
LBTYK,2021Q1_1136744,自由全球,0,NAS,传媒,30820,-,娱乐,30820040,92705808000,-2.03,8.25,$25.60,通信服务,308,9.73,54555407,1393345000,11.12,0.0,0,0.0,0.0,1,26.56,23.53,25.0,2.4,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1136744
VSAT,2021Q1_1136773,卫讯公司,0,NAS,硬件,31120,-,通讯设备,31120010,22633743000,1.26,47.93,$48.30,科技,311,22.46,16288959,783010000,6.25,0.0,0,0.0,0.0,1,60.32,31.51,48.6,-0.62,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1136773
PCG,2021Q1_1136754,太平洋瓦电,0,NYSE,公共事业 - 管制,20720,-,电力生产和供应,20720020,144900817000,-16.01,-19.98,$9.97,公用事业,207,1.54,30657601,359001000,2.87,0.0,0,0.0,0.0,1,12.38,10.51,11.62,-14.2,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1136754
PSTH,2021Q1_1136753,Pershing Square Tontine Holdings Ltd,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,27148741000,-14.8,-24.21,$21.01,金融服务,103,6.35,12707924,305117000,2.44,0.0,0,0.0,0.0,1,32.95,23.82,28.07,-25.15,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1136753
