symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
CHK,2021Q1_1508905,切萨皮克能源,0,NAS,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,32109047000,10.55,0.0,$50.72,能源,309,3.81,3728685,161788000,2.32,10000.0,3728685,2.32,2.32,1,47.25,41.6,44.03,15.19,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508905
VIAC,2021Q1_1508948,维亚康姆CBS,2009,NAS,传媒,30820,-,娱乐,30820040,173456159000,5.81,12.1,$41.29,通信服务,308,0.53,3445000,155370000,2.23,10000.0,3445000,2.23,2.23,1,100.34,36.6,61.05,-32.37,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508948
PSFE,2021Q1_1508933,Paysafe Ltd,0,NYSE,软件,31110,-,软件和信息技术服务,31110010,50686080000,-22.52,0.0,$10.84,科技,311,1.38,10000000,135000000,1.94,10000.0,10000000,1.94,1.94,1,13.5,13.5,13.5,-19.7,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508933
DHI,2021Q1_1508906,霍顿房屋,2013,NYSE,住宅建设,10230,-,住宅建设,10230010,202864735000,-6.24,26.87,$87.04,周期性消费,102,0.32,1165000,103825000,1.49,10000.0,1165000,1.49,1.49,1,89.85,65.85,78.32,11.13,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508906
MOS,2021Q1_1508928,美国美盛,2018,NYSE,农业,10110,-,农业,10110010,74913264000,-7.62,33.22,$30.53,基础材料,101,0.28,1075000,33981000,0.49,10000.0,1075000,0.49,0.49,1,34.24,23.67,29.48,3.56,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508928
AR,2021Q1_1508896,Antero Resources Corp,0,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,28497715000,47.69,157.98,$14.06,能源,309,0.94,2960000,30192000,0.43,10000.0,2960000,0.43,0.43,1,10.56,5.65,8.48,65.8,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508896
IQ,2021Q1_1508920,爱奇艺,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,64962352000,-16.08,-27.17,$12.73,通信服务,308,0.21,1644934,27339000,0.39,10000.0,1644934,0.39,0.39,1,28.91,16.55,23.16,-45.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508920
APA,2021Q1_1508897,阿帕奇公司,2020,NAS,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,45136691000,2.35,30.51,$18.47,能源,309,0.4,1505000,26940000,0.39,10000.0,1505000,0.39,0.39,1,23.25,14.28,18.24,1.26,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508897
ETWO,2021Q1_1508910,E2open Parent Holdings Inc,0,NYSE,软件,31110,-,软件基础构架,31110030,13675507000,5.56,-0.09,$10.83,科技,311,1.28,2500000,24900000,0.36,10000.0,2500000,0.36,0.36,1,11.78,8.85,10.23,5.87,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508910
BP,2021Q1_1508899,英国石油,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 综合,30910030,536879741000,-0.93,23.2,$24.65,能源,309,0.03,975000,23741000,0.34,10000.0,975000,0.34,0.34,1,26.96,20.75,24.05,2.49,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508899
DISCA,2021Q1_1508907,探索传播C股,0,NAS,传媒,30820,-,娱乐,30820040,90394378000,-24.75,-5.42,$28.46,通信服务,308,0.09,475000,20644000,0.3,10000.0,475000,0.3,0.3,1,77.27,30.63,49.9,-42.97,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508907
AGCB,2021Q1_1508894,Altimeter Growth Corp 2,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,3862226000,-7.01,0.0,$10.22,金融服务,103,2.62,1500000,15570000,0.22,10000.0,1500000,0.22,0.22,1,13.93,10.29,11.95,-14.48,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508894
PRPC.U,2021Q1_1508901,CC Neuberger Principal Holdings III,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-0.5,0.0,$10.03,金融服务,103,0.0,1250000,12488000,0.18,10000.0,1250000,0.18,0.18,1,10.61,9.94,10.31,-2.72,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508901
RDS.A,2021Q1_1508938,Royal Dutch Shell PLC,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 综合,30910030,974222283000,-0.91,13.03,$39.04,能源,309,0.01,292500,11469000,0.16,10000.0,292500,0.16,0.16,1,44.38,36.03,40.23,-2.96,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508938
LMACU,2021Q1_1508923,Liberty Media Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-2.93,0.0,$10.61,金融服务,103,0.0,1000000,10710000,0.15,10000.0,1000000,0.15,0.15,1,13.63,10.71,12.2,-13.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508923
RDS.B,2021Q1_1508937,Royal Dutch Shell PLC,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 综合,30910030,974222283000,2.04,14.94,$37.95,能源,309,0.01,292500,10773000,0.15,10000.0,292500,0.15,0.15,1,42.15,33.87,38.15,-0.52,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508937
BIDU,2021Q1_1508898,百度集团,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,416819279000,-11.75,-14.21,$185.52,通信服务,308,0.01,45000,9790000,0.14,10000.0,45000,0.14,0.14,1,339.91,203.97,261.9,-29.16,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508898
HCICU,2021Q1_1508919,Hennessy Capital Investment Corp V,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,3.26,0.0,$10.46,金融服务,103,0.0,750000,7590000,0.11,10000.0,750000,0.11,0.11,1,12.65,10.05,11.05,-5.34,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508919
SVFAU,2021Q1_1508943,SVF Investment Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-5.67,0.0,$10.14,金融服务,103,0.0,750000,7920000,0.11,10000.0,750000,0.11,0.11,1,14.5,10.38,12.6,-19.52,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508943
SHOP,2021Q1_1508941,Shopify Inc,0,NYSE,软件,31110,-,软件应用,31110020,1165797384000,19.3,27.35,$1441.50,科技,311,0.0,3750,4149000,0.06,10000.0,3750,0.06,0.06,1,1474.0,1039.91,1212.21,18.92,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1508941
FCX,2021Q1_1508916,麦克莫兰铜金,2020,NYSE,金属与开采,10150,-,铜,10150020,325857857000,-8.9,32.74,$34.39,基础材料,101,0.1,1500000,49395000,0.71,60.43,565000,0.27,0.27,1,38.08,25.79,32.41,6.11,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 60.43 %,2021Q1_1508916
