symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
VST,2021Q1_1517893,Vistra Corp,2019,NYSE,公共事业 - 独立发电商,20710,-,独立发电商,20710010,58656813000,5.86,-2.75,$18.82,公用事业,207,0.1,492900,8714000,0.72,10000.0,492900,0.72,0.72,1,23.83,16.43,19.9,-5.43,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517893
WMB,2021Q1_1517895,威廉姆斯,2017,NYSE,石油与天然气,30910,-,石油与天然气 - 中游,30910040,200749481000,8.93,31.57,$25.56,能源,309,0.03,304700,7218000,0.6,10000.0,304700,0.6,0.6,1,24.56,20.1,22.72,12.5,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517895
VZ,2021Q1_1517892,威讯,2000,NYSE,通信,30810,-,电信服务,30810010,1513708675000,-0.91,-0.54,$56.55,通信服务,308,0.0,76900,4472000,0.37,10000.0,76900,0.37,0.37,1,59.29,54.15,56.4,0.27,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517892
TRP,2021Q1_1517891,TC Energy Corp,2000,NYSE,石油与天然气,30910,-,石油与天然气 - 中游,30910040,312468475000,3.85,23.91,$49.06,能源,309,0.01,60600,2772000,0.23,10000.0,60600,0.23,0.23,1,47.74,40.84,44.35,10.62,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1517891
ENB,2021Q1_1517886,安桥,2003,NYSE,石油与天然气,30910,-,石油与天然气 - 中游,30910040,516890465000,6.94,26.78,$39.21,能源,309,0.02,341800,12442000,1.03,33.05,84900,0.26,0.26,1,37.2,31.97,35.14,11.58,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 33.05 %,2021Q1_1517886
CVS,2021Q1_1517885,西维斯健康,1997,NYSE,医疗计划,20630,-,医疗计划,20630010,698602184000,8.96,21.63,$82.07,医疗保健,206,0.01,147000,11059000,0.91,32.31,35900,0.22,0.22,1,76.3,68.13,72.86,12.64,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 32.31 %,2021Q1_1517885
ET,2021Q1_1517887,能源转换,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 中游,30910040,171070582000,23.36,63.35,$9.79,能源,309,0.04,1029200,7904000,0.65,31.39,245900,0.16,0.16,1,8.58,6.1,7.29,34.29,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 31.39 %,2021Q1_1517887
KMI,2021Q1_1517888,金德尔摩根,2016,NYSE,石油与天然气,30910,-,石油与天然气 - 中游,30910040,261500108000,8.43,34.55,$17.86,能源,309,0.03,667200,11109000,0.92,5.57,35200,0.05,0.05,1,16.8,13.56,15.26,17.04,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 5.57 %,2021Q1_1517888
T,2021Q1_1517882,美国电话电报,1985,NYSE,通信,30810,-,电信服务,30810010,1311500639000,-2.69,4.28,$28.43,通信服务,308,0.01,398800,12072000,1.0,2.6,10100,0.03,0.03,1,30.73,27.89,29.27,-2.87,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 2.60 %,2021Q1_1517882
WES,2021Q1_1517894,Western Midstream Partners LP,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 中游,30910040,53172923000,3.77,48.6,$19.91,能源,309,0.13,556600,10347000,0.85,0.0,0,0.0,0.0,1,20.1,14.13,17.0,17.12,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1517894
AAPL,2021Q1_1517881,苹果,2012,NAS,硬件,31120,-,消费类电子产品,31120030,16020088127000,10.56,12.22,$148.48,科技,311,0.0,4260,520000,0.04,0.0,0,0.0,0.0,1,143.16,116.36,128.47,15.58,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1517881
BRK.A,2021Q1_1517884,伯克希尔-哈撒韦,0,NYSE,保险,10340,-,多元化保险,10340060,4137067525000,4.09,21.14,$421350.00,金融服务,103,0.0,1,386000,0.03,0.0,0,0.0,0.0,1,398840.0,341820.0,366631.0,14.92,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1517884
JOE,2021Q1_1517890,圣乔,2020,NYSE,房地产,10410,-,多元化房地产,10410030,16111443000,-7.73,0.07,$42.32,房地产,104,43.73,25745557,1104484000,91.16,-2.59,-684800,-2.35,2.35,1,55.3,41.61,47.9,-11.65,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 2.59 %,2021Q1_1517890
BRK.B,2021Q1_1517883,伯克希尔-哈撒韦,0,NYSE,保险,10340,-,多元化保险,10340060,4137067525000,3.93,20.64,$279.72,金融服务,103,0.0,49960,12763000,1.05,-15.96,-9490,-0.18,0.18,1,263.99,227.36,242.84,15.19,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 15.96 %,2021Q1_1517883
ORI,2021Q1_1517889,Old Republic International Corp,1982,NYSE,保险,10340,-,多元化保险,10340060,48298595000,5.23,31.76,$24.53,金融服务,103,0.08,241100,5266000,0.43,-36.4,-138000,-0.22,0.22,1,22.43,17.98,20.03,22.47,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 36.40 %,2021Q1_1517889
BAC,2021Q1_1517897,美国银行,2009,NYSE,银行,10320,-,多元化银行,10320010,2130745583000,0.7,29.3,$38.83,金融服务,103,0.0,0,0,0.0,-10000.0,-483500,-1.19,1.19,1,38.99,29.65,34.49,12.58,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1517897
