symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,exchange_
PDD,2020Q4_1696314,拼多多,0,NAS,零售,10280,-,网络零售,10280050,897342730000,-16.35,-37.67,$110.74,周期性消费,102,0.06,797545,141699820,9.39,10000.0,797545,9.39,9.39,1.0,179.11,71.4,102.78,7.74,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696314,,,,,,,,,,,,,,
VIPS,2020Q4_1696317,唯品会,0,NYSE,零售,10280,-,网络零售,10280050,87447784000,-29.07,-30.02,$19.67,周期性消费,102,0.39,2668316,75006360,4.97,10000.0,2668316,4.97,4.97,1.0,28.11,14.98,20.9,-5.89,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696317,,,,,,,,,,,,,,
01919,2020Q4_1696282,中远海控,0,HKSE,交通运输,31080,-,水上运输,31080040,310747330000,54.96,92.6,HK$13.96,工业,310,0.34,54187250,50011260,3.32,10000.0,54187250,3.32,3.32,1.3,1.81,1.48,1.65,746.06,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696282,上海市东大名路658号8楼,国际船舶运输公司的投资与管理，提供与国际船舶运输配套的服务；实业项目投资与管理；码头投资；从事海上、航空、陆路国际货运代理业务，国际船舶代理；国内船舶代理，货物运输代理；船舶与集装箱生产、销售、租赁、维修；仓储、装卸；运输方案设计；信息服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,许立荣,天津市,公司是中远海运集团航运及码头经营主业上市旗舰企业和资本平台。公司旗下的集装箱航运板块，主要经营国际、国内海上集装箱运输服务及相关业务，共经营230余国际航线(含国际支线)、50余条中国沿海航线及80余条珠江三角洲和长江支线，在全球约90余个国家和地区的290余个港口均有挂靠，旗下集装箱船队运力规模排名稳居世前列，集装箱码头年总吞吐量排名蝉联世界第一。公司通过自营集装箱船队，开展以集装箱为载体的货物运输及相关业务。在“全球化、端到端、数字化、双品牌”四大发展战略指引下，致力于推动公司整体提质增效，以及不断提升为客户创造价值服务的能力，努力将公司打造成为世界一流的集装箱海运综合服务商。公司坚持以全球化眼光和国际化思维，聚焦世界贸易格局变化，把握新兴经济体发展和中国扩大进口市场机遇，积极顺应“一带一路”倡议及中国企业“走出去”战略深入推进，充分整合、持续优化全球网络资源，提升盈利能力和抗周期能力。,guo.huawei@coscoshipping.com;zhang.yueming@coscoshipping.com,"主营业务:国际,国内海上集装箱运输服务及相关业务.",杨志坚,天津,1225952.92,郭华伟,20070105,hold.coscoshipping.com,HKSE
2303,2020Q4_1696311,联电,2019,TPE,半导体,31130,-,半导体,31130020,158259352000,3.77,16.86,NT$55.10,科技,311,0.24,29682000,49829320,3.3,10000.0,29682000,3.3,3.3,1.0,50.9,16.0,29.72,85.4,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696311,,,,,,,,,,,,,,
2454,2020Q4_1696308,聯發科,2019,TPE,半导体,31130,-,半导体,31130020,347953756000,0.3,32.26,NT$951.00,科技,311,0.08,1291000,34336570,2.28,10000.0,1291000,2.28,2.28,1.0,747.0,556.0,663.71,43.29,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696308,,,,,,,,,,,,,,
01299,2020Q4_1696286,友邦保险,2019,HKSE,保险,10340,-,人身保险,10340010,967043532000,-2.8,1.68,HK$96.25,金融服务,103,0.02,2739400,33574540,2.23,10000.0,2739400,2.23,2.23,1.0,96.3,69.35,80.26,19.92,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696286,,,,,,,,,,,,,,HKSE
02331,2020Q4_1696294,李宁,2019,HKSE,旅游和娱乐,10290,-,娱乐,10290020,194622648000,59.14,78.12,HK$93.15,周期性消费,102,0.17,4245500,29193560,1.94,10000.0,4245500,1.94,1.94,1.0,53.25,24.0,36.52,155.07,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696294,,,,,,,,,,,,,,HKSE
02689,2020Q4_1696299,玖龙纸业,2020,HKSE,林业,10140,-,造纸及纸制品,10140020,43504954000,1.81,1.81,HK$11.36,基础材料,101,0.41,19356000,27468780,1.82,10000.0,19356000,1.82,1.82,1.0,11.66,9.47,10.61,7.07,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696299,,,,,,,,,,,,,,HKSE
09901,2020Q4_1696298,新东方（新）,0,HKSE,教育,20540,-,教育培训服务,20540010,76766362000,-51.87,-61.27,HK$53.60,非周期性消费,205,0.08,1282800,23037180,1.53,10000.0,1282800,1.53,1.53,10.0,140.3,122.5,131.67,-59.29,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696298,,,,,,,,,,,,,,HKSE
300059,2020Q4_1696272,东方财富,2018,SZSE,交互式媒体,30830,-,互联网和相关服务,30830010,335203220000,39.3,28.25,¥32.50,通信服务,308,0.05,5064894,20000020,1.33,10000.0,5064894,1.33,1.33,1.2,16.89,11.28,12.86,152.72,2020-12-31T05:00:00Z,{1_trade_buy},{trade_buy},2020Q4_1696272,上海市徐汇区宛平南路88号东方财富大厦,第二类增值电信业务中的呼叫中心业务和信息服务业务(以经营许可证为准)，企业投资咨询、策划，商务咨询，会务会展咨询服务，计算机软硬件及网络系统的技术开发、技术服务、技术咨询、技术转让，设计、制作、发布、代理国内外各类广告，自有房屋租赁，计算机软件销售。,其实,上海市,公司是国内领先的互联网金融服务平台综合运营商，通过以“东方财富网”为核心，集互联网财经门户平台、金融电子商务平台、金融终端平台及移动端平台等为一体的互联网金融服务大平台，向海量用户提供基于互联网平台应用的产品和服务。公司运营的以“东方财富网”为核心的互联网金融服务大平台已成为我国用户访问量最大、用户黏性最高的互联网金融服务平台之一，“天天基金网”和“股吧”在各自细分领域中均具有市场领先地位，在用户数量和用户黏性方面长期保持竞争优势，形成了公司的核心竞争力。,dongmi@eastmoney.com,"主营业务:公司通过“东方财富网”网站平台提供专业的,及时的,海量的资讯信息,满足广大互联网用户对于财经资讯和金融信息需求.公司主营业务属于网络财经信息服务业,向用户提供专业的,及时的,海量的资讯信息,满足其对于财经资讯和金融信息的需求.业务内容主要包括互联网广告服务以及金融数据服务.",郑立坤,上海,1033576.38,其实,20050120,www.eastmoney.com,SZSE
