symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
HRB,2021Q1_1041076,H&R Block Inc,1998,NYSE,个人服务,10260,-,个人服务,10260010,28064591000,10.15,54.16,$23.92,周期性消费,102,0.42,770894,16813000,0.59,10000.0,770894,0.59,0.59,1,21.8,15.66,18.91,26.49,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1041076
MOMO,2021Q1_1041093,陌陌,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,18405054000,-5.54,3.51,$13.81,通信服务,308,0.07,134000,1975000,0.07,10000.0,134000,0.07,0.07,1,20.08,13.66,16.25,-15.02,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1041093
STLA,2021Q1_1041100,菲亚特克莱斯勒,0,NYSE,汽车和配件,10200,-,汽车制造,10200020,381016239000,6.56,24.27,$18.82,周期性消费,102,0.0,89713,1590000,0.06,10000.0,89713,0.06,0.06,1,18.17,14.31,16.19,16.24,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1041100
DISCA,2021Q1_1041069,探索传播C股,0,NAS,传媒,30820,-,娱乐,30820040,90394378000,-24.75,-5.42,$28.46,通信服务,308,0.01,33000,1434000,0.05,10000.0,33000,0.05,0.05,1,77.27,30.63,49.9,-42.97,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1041069
CRHM,2021Q1_1041061,CRH Medical Corp,0,AMEX,医疗器械,20650,-,医疗器械和供给,20650020,1827388000,77.73,71.24,$3.99,医疗保健,206,0.38,270000,1067000,0.04,10000.0,270000,0.04,0.04,1,3.96,2.13,3.25,22.77,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1041061
CHNG,2021Q1_1041057,改变医疗保健,0,NAS,医疗机构和服务,20645,-,医疗信息服务,20645030,44475083000,-1.99,18.93,$22.18,医疗保健,206,0.01,35000,773000,0.03,10000.0,35000,0.03,0.03,1,24.14,18.24,23.16,-4.23,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1041057
AT,2021Q1_1041050,Atlantic Power Corp,0,NYSE,公共事业 - 独立发电商,20710,-,独立发电商,20710010,1743962000,1.0,43.81,$3.02,公用事业,207,0.28,250000,720000,0.03,10000.0,250000,0.03,0.03,1,3.01,2.1,2.81,7.47,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1041050
RP,2021Q1_1041097,RealPage Inc,0,NAS,软件,31110,-,软件应用,31110020,58643207000,1.98,1.7,$88.72,科技,311,0.01,8000,698000,0.02,10000.0,8000,0.02,0.02,1,87.45,85.4,86.92,2.07,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1041097
WW,2021Q1_1041104,慧优体,0,NAS,个人服务,10260,-,个人服务,10260010,13947530000,7.67,27.17,$31.03,周期性消费,102,0.12,80000,2502000,0.09,95.12,39000,0.04,0.04,1,35.91,22.98,28.8,7.74,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 95.12 %,2021Q1_1041104
UA,2021Q1_1041103,安德玛,0,NYSE,服饰加工,10240,-,服装加工,10240020,55851386000,-2.89,19.49,$17.78,周期性消费,102,0.03,119000,2196000,0.08,85.94,55000,0.04,0.04,1,20.19,14.77,17.6,1.02,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 85.94 %,2021Q1_1041103
