symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
QFIN,2021Q1_1521191,360数科,0,NAS,信贷,10360,-,信贷服务,10360010,29777051000,33.01,156.32,$30.22,金融服务,103,1.9,2902722,75500000,3.19,10000.0,2902722,3.19,3.19,1,33.58,12.01,22.36,35.15,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1521191
YY,2021Q1_1521176,欢聚集团,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,32073649000,-35.12,-20.61,$62.48,通信服务,308,0.43,341000,31962000,1.35,10000.0,341000,1.35,1.35,1,147.8,78.64,108.49,-42.41,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1521176
FUTU,2021Q1_1521174,富途控股,0,NAS,资本市场,10330,-,资本市场,10330010,127830191000,-8.92,194.64,$134.80,金融服务,103,0.02,25916,4116000,0.17,10000.0,25916,0.17,0.17,1,191.0,48.94,124.1,8.62,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1521174
CVNA,2021Q1_1521171,Carvana Co,0,NYSE,零售,10280,-,网络零售,10280050,162805119000,10.48,29.92,$311.20,周期性消费,102,0.02,13700,3595000,0.15,10000.0,13700,0.15,0.15,1,314.84,236.27,275.92,12.79,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1521171
WYNN,2021Q1_1521195,永利,2020,NAS,旅游和娱乐,10290,-,度假村和赌场,10290040,80933079000,-15.39,-4.08,$108.23,周期性消费,102,0.02,26065,3268000,0.14,10000.0,26065,0.14,0.14,1,140.0,99.53,120.46,-10.15,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1521195
YI,2021Q1_1521182,1药网,0,NAS,医疗机构和服务,20645,-,医药零售,20645020,3970251000,-33.18,6.62,$7.41,医疗保健,206,1.01,836440,11543000,0.49,66.67,334588,0.2,0.2,1,27.33,6.83,14.67,-49.49,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 66.67 %,2021Q1_1521182
JD,2021Q1_1521177,京东集团,0,NAS,零售,10280,-,网络零售,10280050,774722131000,-0.81,-12.56,$76.86,周期性消费,102,0.04,689900,58180000,2.46,48.19,224363,0.8,0.8,1,106.88,78.71,91.81,-16.28,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 48.19 %,2021Q1_1521177
NVDA,2021Q1_1521181,英伟达,2013,NAS,半导体,31130,-,半导体,31130020,3053675916000,17.56,45.34,$758.65,科技,311,0.0,9524,5085000,0.22,30.79,2242,0.05,0.05,1,613.21,463.73,538.61,40.85,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 30.79 %,2021Q1_1521181
NOW,2021Q1_1521186,现在服务,0,NYSE,软件,31110,-,软件应用,31110020,712700451000,-0.19,1.43,$558.28,科技,311,0.01,10760,5381000,0.23,27.78,2339,0.05,0.05,1,594.47,464.05,528.89,5.56,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 27.78 %,2021Q1_1521186
NTES,2021Q1_1521180,网易,2020,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,496336045000,8.38,19.84,$114.41,通信服务,308,0.37,2457070,253717000,10.73,25.92,505750,2.21,2.21,1,132.47,96.74,113.47,0.83,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 25.92 %,2021Q1_1521180
VNET,2021Q1_1521192,世纪互联,0,NAS,软件,31110,-,软件和信息技术服务,31110010,17510959000,-33.91,-45.66,$18.85,科技,311,0.05,69388,2241000,0.09,19.81,11475,0.01,0.01,1,42.6,28.08,36.91,-48.93,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 19.81 %,2021Q1_1521192
AYX,2021Q1_1521167,Alteryx Inc,0,NYSE,软件,31110,-,软件应用,31110020,33354820000,-11.97,-36.9,$76.85,科技,311,0.03,21013,1743000,0.07,16.74,3013,0.01,0.01,1,138.66,79.46,106.14,-27.6,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 16.74 %,2021Q1_1521167
SE,2021Q1_1521185,海洋互联网,0,NYSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,903107747000,7.49,35.06,$268.83,通信服务,308,0.44,2288273,510811000,21.61,7.45,158741,1.5,1.5,1,280.0,194.37,232.98,15.39,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 7.45 %,2021Q1_1521185
GOOGL,2021Q1_1521166,谷歌,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,11184424851000,11.15,44.93,$2540.10,通信服务,308,0.0,22375,46149000,1.95,7.26,1515,0.13,0.13,1,2118.62,1722.88,1975.79,28.56,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 7.26 %,2021Q1_1521166
UBER,2021Q1_1521193,优步,0,NYSE,软件,31110,-,软件应用,31110020,563234918000,-23.58,-8.98,$46.42,科技,311,0.01,162356,8850000,0.37,4.7,7284,0.02,0.02,1,63.18,48.11,55.88,-16.93,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 4.70 %,2021Q1_1521193
SQ,2021Q1_1521188,Square Inc,0,NYSE,软件,31110,-,软件基础构架,31110030,692355003000,-10.61,8.05,$235.16,科技,311,0.0,17500,3973000,0.17,1.16,200,0.0,0.0,1,276.57,201.87,234.55,0.26,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.16 %,2021Q1_1521188
QD,2021Q1_1521184,趣店,0,NYSE,信贷,10360,-,信贷服务,10360010,3321800000,9.73,47.1,$2.03,金融服务,103,2.16,5472601,12478000,0.53,0.0,0,0.0,0.0,1,3.66,1.3,2.41,-15.77,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1521184
ZLAB,2021Q1_1521197,再鼎医药Ｂ,0,NAS,生物科技,20610,-,生物科技,20610010,107594236000,4.03,25.75,$170.19,医疗保健,206,0.04,37015,4939000,0.21,0.0,0,0.0,0.0,1,191.71,126.27,155.27,9.61,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1521197
HCM,2021Q1_1521175,和黄医药,0,NAS,生物科技,20610,-,生物科技,20610010,41349246000,29.68,18.99,$38.10,医疗保健,206,0.06,100169,2830000,0.12,0.0,0,0.0,0.0,1,36.8,27.01,31.94,19.29,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1521175
XYF,2021Q1_1521196,小赢科技,0,NYSE,信贷,10360,-,信贷服务,10360010,4146676000,297.0,495.5,$11.91,金融服务,103,0.59,315728,1175000,0.05,0.0,0,0.0,0.0,1,4.83,1.94,3.14,279.3,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1521196
CCM,2021Q1_1521172,泰和诚医疗,2018,NYSE,医疗机构和服务,20645,-,医疗机构,20645010,746578000,-27.52,-2.92,$2.66,医疗保健,206,0.26,113549,436000,0.02,0.0,0,0.0,0.0,1,4.53,2.98,3.69,-27.91,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1521172
MSFT,2021Q1_1521179,微软,2003,NAS,软件,31110,-,软件基础构架,31110030,13684649195000,8.51,26.85,$281.03,科技,311,0.01,441387,104066000,4.4,-17.04,-90664,-0.46,0.46,1,244.99,212.25,232.23,21.01,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 17.04 %,2021Q1_1521179
ZTO,2021Q1_1521198,中通快递,2018,NYSE,交通运输,31080,-,装卸搬运和其他运输代理,31080060,156209549000,0.86,1.03,$29.21,工业,310,1.29,10707762,312131000,13.2,-21.2,-2880354,-1.93,1.93,1,38.48,27.43,32.74,-10.78,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 21.20 %,2021Q1_1521198
FB,2021Q1_1521173,Facebook Inc,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,6314883120000,11.9,26.1,$344.46,通信服务,308,0.04,1141920,336330000,14.23,-24.91,-378750,-2.38,2.38,1,294.53,245.64,269.28,27.92,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 24.91 %,2021Q1_1521173
SY,2021Q1_1521187,新氧,0,NAS,医疗机构和服务,20645,-,医疗信息服务,20645030,6210774000,2.63,-19.35,$8.96,医疗保健,206,2.23,2390101,23590000,1.0,-33.55,-1206979,-0.31,0.31,1,16.16,9.64,12.6,-28.89,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 33.55 %,2021Q1_1521187
AMZN,2021Q1_1521168,亚马逊,0,NAS,零售,10280,-,网络零售,10280050,11831859762000,7.46,11.49,$3631.20,周期性消费,102,0.0,5763,17831000,0.75,-34.98,-3100,-0.23,0.23,1,3380.0,2951.95,3171.97,14.48,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 34.98 %,2021Q1_1521168
PDD,2021Q1_1521183,拼多多,0,NAS,零售,10280,-,网络零售,10280050,897342730000,-16.35,-37.67,$110.74,周期性消费,102,0.21,2617997,350497000,14.83,-59.12,-3785555,-15.45,15.45,1,202.82,124.18,169.27,-34.58,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 59.12 %,2021Q1_1521183
BABA,2021Q1_1521165,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.0,108541,24610000,1.04,-71.47,-271880,-1.45,1.45,1,270.83,222.72,245.98,-12.69,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 71.47 %,2021Q1_1521165
TAL,2021Q1_1521190,好未来,0,NYSE,教育,20540,-,教育培训服务,20540010,91478371000,-61.62,-69.32,$21.94,非周期性消费,205,0.11,741404,39924000,1.69,-77.61,-2570629,-4.22,4.22,1,90.15,52.09,73.46,-70.13,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 77.61 %,2021Q1_1521190
BILI,2021Q1_1521170,哔哩哔哩,0,NAS,交互式媒体,30830,-,电子游戏和多媒体,30830020,272631795000,6.91,28.46,$110.12,通信服务,308,0.09,337186,36098000,1.53,-81.39,-1475072,-2.91,2.91,1,156.37,94.74,122.71,-10.26,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 81.39 %,2021Q1_1521170
TSM,2021Q1_1521189,台积电,2020,NYSE,半导体,31130,-,半导体,31130020,3940852695000,-0.32,8.6,$117.53,科技,311,0.01,345473,40862000,1.73,-86.79,-2270297,-5.68,5.68,1,140.05,108.96,124.1,-5.29,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 86.79 %,2021Q1_1521189
AAPL,2021Q1_1521169,苹果,2012,NAS,硬件,31120,-,消费类电子产品,31120030,16020088127000,10.56,12.22,$148.48,科技,311,0.0,169000,20643000,0.87,-90.39,-1590205,-4.85,4.85,1,143.16,116.36,128.47,15.58,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 90.39 %,2021Q1_1521169
BEKE,2021Q1_1521178,贝壳,0,NYSE,房地产,10410,-,房地产服务,10410020,300290889000,-23.89,-36.63,$39.00,房地产,104,0.0,58600,3339000,0.14,-93.28,-814055,-1.15,1.15,1,76.69,47.08,62.93,-38.03,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 93.28 %,2021Q1_1521178
VIPS,2021Q1_1521194,唯品会,0,NYSE,零售,10280,-,网络零售,10280050,87447784000,-29.07,-30.02,$19.67,周期性消费,102,0.03,200000,5972000,0.25,-96.59,-5662984,-3.66,3.66,1,45.58,27.42,34.47,-42.94,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 96.59 %,2021Q1_1521194
TSLA,2021Q1_1521600,特斯拉,0,NAS,汽车和配件,10200,-,汽车制造,10200020,4049326363000,-11.94,-7.8,$650.60,周期性消费,102,0.0,0,0,0.0,-10000.0,-183980,-2.98,2.98,1,883.09,563.0,754.2,-13.74,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1521600
BIDU,2021Q1_1521597,百度集团,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,416819279000,-11.75,-14.21,$185.52,通信服务,308,0.0,0,0,0.0,-10000.0,-338582,-1.68,1.68,1,339.91,203.97,261.9,-29.16,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1521597
ALB,2021Q1_1521596,美国雅宝公司,1994,NYSE,化工,10130,-,特种化学制品,10130020,140239436000,23.73,26.5,$185.83,基础材料,101,0.0,0,0,0.0,-10000.0,-198750,-0.67,0.67,1,185.25,140.69,160.56,15.74,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1521596
DAO,2021Q1_1521599,网易有道,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,17730779000,-6.2,-17.94,$21.77,通信服务,308,0.0,0,0,0.0,-10000.0,-501969,-0.31,0.31,1,41.35,22.99,31.79,-31.52,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1521599
SHOP,2021Q1_1521598,Shopify Inc,0,NYSE,软件,31110,-,软件应用,31110020,1165797384000,19.3,27.35,$1441.50,科技,311,0.0,0,0,0.0,-10000.0,-9263,-0.24,0.24,1,1474.0,1039.91,1212.21,18.92,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1521598
JKS,2021Q1_1521601,晶科能源,0,NYSE,半导体,31130,-,太阳能,31130030,18576661000,68.28,-2.6,$60.26,科技,311,0.0,0,0,0.0,-10000.0,-66650,-0.09,0.09,1,72.31,38.08,56.23,7.17,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1521601
BLDP,2021Q1_1521604,巴拉德动力系统,0,NAS,工业制品,31070,-,特种工业机械,31070020,29429355000,-26.27,-35.0,$15.21,工业,310,0.0,0,0,0.0,-10000.0,-96100,-0.05,0.05,1,40.99,21.15,29.99,-49.28,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1521604
DQ,2021Q1_1521602,大全新能源,0,NYSE,半导体,31130,-,半导体仪器和材料,31130010,32715052000,1.74,20.0,$68.83,科技,311,0.0,0,0,0.0,-10000.0,-39690,-0.05,0.05,1,124.13,62.16,92.2,-25.35,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1521602
ABNB,2021Q1_1521605,爱彼迎,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,548981583000,-21.59,-6.34,$137.50,通信服务,308,0.0,0,0,0.0,-10000.0,-10300,-0.03,0.03,1,216.84,139.15,185.72,-25.96,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1521605
CREE,2021Q1_1521603,克里科技,0,NAS,半导体,31130,-,半导体,31130020,65885380000,-22.46,-16.67,$88.25,科技,311,0.0,0,0,0.0,-10000.0,-3150,-0.01,0.01,1,128.28,94.12,112.52,-21.57,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_1521603
