symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
TDUP,2021Q1_990247,ThredUp Inc,0,NAS,零售,10280,-,网络零售,10280050,15349031000,63.74,0.0,$25.20,周期性消费,102,0.21,200000,4666000,0.03,10000.0,200000,0.03,0.03,1,31.4,20.0,24.2,4.13,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_990247
PYPL,2021Q1_990243,贝宝,0,NAS,信贷,10360,-,信贷服务,10360010,2252054720000,8.22,26.61,$296.51,金融服务,103,0.0,5000,1214000,0.01,10000.0,5000,0.01,0.01,1,304.79,226.09,253.25,17.08,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_990243
GOOG,2021Q1_990223,谷歌,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,11184424851000,14.31,49.86,$2625.33,通信服务,308,0.0,40,83000,0.0,10000.0,40,0.0,0.0,1,2128.31,1728.24,1986.11,32.18,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_990223
ADBE,2021Q1_990221,Adobe Inc,0,NAS,软件,31110,-,软件基础构架,31110030,1865776535000,15.85,21.2,$606.17,科技,311,0.32,1529870,727254000,4.94,34.2,389870,1.26,1.26,1,501.64,421.2,467.93,29.54,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 34.20 %,2021Q1_990221
CSGP,2021Q1_990231,科斯塔,0,NAS,房地产,10410,-,房地产服务,10410020,222993336000,-4.39,-5.52,$87.33,房地产,104,2.47,9770450,803024000,5.45,1.15,110840,0.06,0.06,10,93.98,75.85,86.45,1.02,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.15 %,2021Q1_990231
V,2021Q1_990249,维萨卡,2008,NYSE,信贷,10360,-,信贷服务,10360010,3533478032000,9.98,13.93,$248.55,金融服务,103,0.25,5254738,1112586000,7.55,0.23,12180,0.02,0.02,1,226.15,193.25,210.49,18.08,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.23 %,2021Q1_990249
DBRG,2021Q1_990230,科勒尼不动产,2020,NYSE,房地产信托投资基金,10420,-,REIT - 多元化,10420090,23307825000,9.47,53.85,$7.40,房地产,104,2.2,10714800,69432000,0.47,0.09,10000,0.0,0.0,1,6.97,4.43,5.62,31.67,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.09 %,2021Q1_990230
KKR,2021Q1_990235,KKR & Co Inc,2019,NYSE,资产管理,10310,-,资产管理,10310010,221250941000,11.42,45.96,$58.82,金融服务,103,2.53,14733824,719747000,4.89,0.05,7376,0.0,0.0,1,49.35,37.56,44.8,31.29,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.05 %,2021Q1_990235
BAM,2021Q1_990228,布鲁克菲尔德资产管理,2002,NYSE,资产管理,10310,-,资产管理,10310010,517783725000,10.07,23.69,$50.43,金融服务,103,0.83,13040095,580284000,3.94,0.0,-480,0.0,0.0,1,45.67,38.19,41.68,20.99,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_990228
LYV,2021Q1_990237,Live Nation Entertainment Inc,0,NYSE,传媒,30820,-,娱乐,30820040,113012780000,-0.4,8.78,$79.93,通信服务,308,2.5,5469400,462985000,3.14,0.0,0,0.0,0.0,1,92.86,66.45,80.56,-0.78,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_990237
DHR,2021Q1_990232,丹纳赫,2017,NYSE,医疗诊断和研究,20660,-,诊断和研究,20660010,1294737799000,15.9,26.66,$280.95,医疗保健,206,0.23,1655300,372575000,2.53,0.0,0,0.0,0.0,1,245.9,212.38,229.37,22.49,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_990232
ANSS,2021Q1_990225,安西斯,0,NAS,软件,31110,-,软件应用,31110020,198462827000,-5.98,-3.19,$352.21,科技,311,0.7,609764,207051000,1.41,0.0,0,0.0,0.0,1,403.6,293.55,356.0,-1.06,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_990225
ALRM,2021Q1_990222,Alarm.com Holdings Inc,0,NAS,软件,31110,-,软件应用,31110020,26045797000,-14.02,-21.74,$80.96,科技,311,3.98,1981858,171193000,1.16,0.0,0,0.0,0.0,1,107.69,82.03,94.42,-14.26,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_990222
OLLI,2021Q1_990242,Ollie's Bargain Outlet Holdings Inc,0,NAS,零售 - 防守型,20550,-,折扣店,20550010,37835332000,-4.68,9.7,$89.70,非周期性消费,205,0.77,500000,43500000,0.3,0.0,0,0.0,0.0,1,106.33,81.93,91.08,-1.52,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_990242
GSHD,2021Q1_990234,Goosehead Insurance Inc,0,NAS,保险,10340,-,多元化保险,10340060,27593340000,7.67,-8.8,$113.78,金融服务,103,0.65,243366,26084000,0.18,0.0,0,0.0,0.0,1,174.55,105.85,135.85,-16.25,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_990234
LAMR,2021Q1_990236,拉马尔户外广告,2020,NAS,房地产信托投资基金,10420,-,REIT - 特种,10420080,68510322000,8.8,27.73,$104.80,房地产,104,0.05,48530,4558000,0.03,0.0,0,0.0,0.0,1,99.63,79.28,88.06,19.01,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_990236
BRK.A,2021Q1_990227,伯克希尔-哈撒韦,0,NYSE,保险,10340,-,多元化保险,10340060,4137067525000,4.09,21.14,$421350.00,金融服务,103,0.0,3,1157000,0.01,0.0,0,0.0,0.0,1,398840.0,341820.0,366631.0,14.92,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_990227
TTD,2021Q1_990246,The Trade Desk Inc,0,NAS,软件,31110,-,软件应用,31110020,221291671000,-2.05,-10.12,$71.99,科技,311,0.0,4450,290000,0.0,0.0,0,0.0,0.0,10,90.34,61.26,77.43,-7.03,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_990246
AMT,2021Q1_990224,美国电塔,2012,NYSE,房地产信托投资基金,10420,-,REIT - 特种,10420080,826917760000,14.32,26.43,$281.28,房地产,104,1.57,7124087,1703084000,11.56,-0.09,-6471,-0.01,0.01,1,241.83,198.66,222.76,26.27,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 0.09 %,2021Q1_990224
VRSK,2021Q1_990248,Verisk Analytics Inc,2019,NAS,商业服务,31020,-,咨询服务,31020020,193491031000,0.3,-10.72,$184.76,工业,310,1.51,2448376,432604000,2.94,-0.09,-2085,0.0,0.0,1,202.88,161.65,183.25,0.82,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 0.09 %,2021Q1_990248
MCO,2021Q1_990240,穆迪,2001,NYSE,资本市场,10330,-,金融数据和交易所,10330020,453253244000,17.85,29.54,$374.75,金融服务,103,3.01,5627255,1680355000,11.41,-0.1,-5450,-0.01,0.01,1,306.97,263.04,281.57,33.09,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 0.10 %,2021Q1_990240
MA,2021Q1_990239,万事达,2017,NYSE,信贷,10360,-,信贷服务,10360010,2498667987000,1.08,9.7,$390.23,金融服务,103,0.59,5872150,2090779000,14.2,-0.14,-8055,-0.02,0.02,1,384.38,315.49,348.78,11.88,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 0.14 %,2021Q1_990239
BRK.B,2021Q1_990226,伯克希尔-哈撒韦,0,NYSE,保险,10340,-,多元化保险,10340060,4137067525000,3.93,20.64,$279.72,金融服务,103,0.0,18399,4700000,0.03,-1.16,-215,0.0,0.0,1,263.99,227.36,242.84,15.19,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 1.16 %,2021Q1_990226
KMX,2021Q1_990229,车美仕,0,NYSE,汽车和配件,10200,-,汽车经销商,10200010,138178470000,1.6,38.96,$131.26,周期性消费,102,4.37,7113557,943684000,6.41,-4.89,-365685,-0.23,0.23,1,135.83,93.3,121.78,7.78,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 4.89 %,2021Q1_990229
SBAC,2021Q1_990245,SBA通信公司,2019,NAS,房地产信托投资基金,10420,-,REIT - 特种,10420080,234939592000,15.41,18.2,$332.32,房地产,104,2.09,2285126,634237000,4.31,-7.3,-179874,-0.34,0.34,1,282.57,235.92,264.91,25.45,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 7.30 %,2021Q1_990245
ROP,2021Q1_990244,儒博实业,2017,NYSE,工业制品,31070,-,特种工业机械,31070020,330858554000,14.64,13.27,$486.60,工业,310,1.65,1736443,700377000,4.76,-9.23,-176564,-0.51,0.51,1,438.53,371.89,401.28,21.26,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 9.23 %,2021Q1_990244
ORLY,2021Q1_990241,奥莱利,0,NAS,零售,10280,-,特种零售,10280060,269289271000,14.46,32.01,$597.46,周期性消费,102,2.27,1582959,802956000,5.45,-13.96,-256785,-0.79,0.79,1,509.13,425.47,464.17,28.72,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 13.96 %,2021Q1_990241
DLTR,2021Q1_990233,美元树,0,NAS,零售 - 防守型,20550,-,折扣店,20550010,147990221000,-15.67,-8.66,$98.68,非周期性消费,205,1.55,3590456,410964000,2.79,-20.68,-936096,-0.68,0.68,1,116.23,98.2,107.46,-8.17,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 20.68 %,2021Q1_990233
MKL,2021Q1_990238,Markel Corp,0,NYSE,保险,10340,-,财产保险,10340020,107000238000,-0.2,16.41,$1202.88,金融服务,103,0.1,13933,15878000,0.11,-95.51,-296667,-2.07,2.07,1,1156.17,943.6,1079.1,11.47,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 95.51 %,2021Q1_990238
DSGX,2021Q1_990355,The Descartes Systems Group Inc,0,NAS,软件,31110,-,软件应用,31110020,37925892000,4.4,17.73,$68.85,科技,311,0.0,0,0,0.0,-10000.0,-207300,-0.08,0.08,1,64.06,57.16,60.97,12.92,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_990355
PRMW,2021Q1_990354,考特,2012,NYSE,软饮料,20520,-,软饮料,20520010,17242770000,0.0,5.68,$16.45,非周期性消费,205,0.0,0,0,0.0,-10000.0,-29899,0.0,0.0,1,17.48,14.29,16.09,2.24,2021-03-31T04:00:00Z,{5_trade_sell},{trade_sell},2021Q1_990354
