symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
MO,2021Q1_1810076,奥驰亚,2009,NYSE,烟草制品,20560,-,烟草,20560010,568232266000,-6.32,20.02,$47.49,非周期性消费,205,0.16,3000000,153480000,1.03,10000.0,3000000,1.03,1.03,1,52.5,40.76,44.79,6.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1810076
COP,2021Q1_1810069,康菲石油,2016,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,498004035000,10.81,44.89,$57.08,能源,309,0.16,2156000,114187000,0.77,10000.0,2156000,0.77,0.77,1,59.83,39.57,49.25,15.9,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1810069
REGN,2021Q1_1810065,再生元制药,0,NAS,生物科技,20610,-,生物科技,20610010,405669930000,19.14,21.98,$589.32,医疗保健,206,0.49,524000,247876000,1.66,201.15,350000,1.11,1.11,1,548.2,446.73,486.85,21.05,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 201.15 %,2021Q1_1810065
FISV,2021Q1_1810050,费哲,0,NAS,软件,31110,-,软件和信息技术服务,31110010,474076783000,-11.73,-2.69,$110.80,科技,311,0.3,2000000,238080000,1.6,100.0,1000000,0.8,0.8,1,124.13,102.69,114.68,-3.38,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 100.00 %,2021Q1_1810050
KKR,2021Q1_1810035,KKR & Co Inc,2019,NYSE,资产管理,10310,-,资产管理,10310010,221250941000,11.42,45.96,$58.82,金融服务,103,0.57,3300000,161205000,1.08,32.0,800000,0.26,0.26,1,49.35,37.56,44.8,31.29,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 32.00 %,2021Q1_1810035
HUM,2021Q1_1810063,休曼纳,2016,NYSE,医疗计划,20630,-,医疗计划,20630010,389209550000,7.76,14.15,$466.93,医疗保健,206,0.58,748000,313599000,2.1,19.11,120000,0.34,0.34,1,447.69,375.15,398.88,17.06,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 19.11 %,2021Q1_1810063
CHTR,2021Q1_1810046,特许通讯,0,NAS,传媒,30820,-,娱乐,30820040,859888736000,10.84,6.56,$704.93,通信服务,308,0.26,487000,300180000,2.01,14.05,60000,0.25,0.25,1,654.65,596.5,624.69,12.84,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 14.05 %,2021Q1_1810046
NFLX,2021Q1_1810045,奈飞,0,NAS,传媒,30820,-,娱乐,30820040,1556540628000,-1.14,0.41,$542.95,通信服务,308,0.13,588000,306788000,2.06,13.51,70000,0.25,0.25,1,586.34,493.33,530.86,2.28,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 13.51 %,2021Q1_1810045
BAC,2021Q1_1810037,美国银行,2009,NYSE,银行,10320,-,多元化银行,10320010,2130745583000,0.7,29.3,$38.83,金融服务,103,0.16,13976000,540712000,3.63,0.0,0,0.0,0.0,1,38.99,29.65,34.49,12.58,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1810037
C,2021Q1_1810038,花旗,2011,NYSE,银行,10320,-,多元化银行,10320010,896987936000,-4.94,12.67,$68.45,金融服务,103,0.34,6904000,502274000,3.37,0.0,0,0.0,0.0,1,75.18,57.99,66.7,2.62,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1810038
FB,2021Q1_1810043,Facebook Inc,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,6314883120000,11.9,26.1,$344.46,通信服务,308,0.06,1611000,474606000,3.18,0.0,0,0.0,0.0,1,294.53,245.64,269.28,27.92,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1810043
EOG,2021Q1_1810066,依欧格资源,2001,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,287283380000,6.55,57.19,$76.19,能源,309,1.05,6099000,442329000,2.97,0.0,0,0.0,0.0,1,75.31,49.86,63.77,19.48,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1810066
