symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
CPNG,2021Q1_1516886,Coupang Inc,0,NYSE,零售,10280,-,网络零售,10280050,472942655000,-7.75,0.0,$42.25,周期性消费,102,0.33,5714285,282000000,1.35,10000.0,5714285,1.35,1.35,1,50.45,43.29,46.22,-8.59,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1516886
WM,2021Q1_1516896,美国废物管理,1999,NYSE,垃圾处理,31090,-,垃圾处理,31090010,396725915000,8.49,24.23,$145.36,工业,310,4.41,18633672,2404116000,11.47,0.0,0,0.0,0.0,1,130.34,109.92,116.82,24.43,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1516896
ECL,2021Q1_1516888,艺康集团,1987,NYSE,化工,10130,-,特种化学制品,10130020,396718719000,-2.2,-0.37,$214.59,基础材料,101,1.53,4366426,934721000,4.46,0.0,0,0.0,0.0,1,225.74,204.51,212.88,0.8,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1516888
SDGR,2021Q1_1516893,Schrodinger Inc,0,NAS,医疗机构和服务,20645,-,医疗信息服务,20645030,30751712000,-13.91,-14.8,$67.46,医疗保健,206,9.9,6981664,532631000,2.54,0.0,0,0.0,0.0,1,113.09,64.61,90.24,-25.24,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1516893
KOF,2021Q1_1516885,可口可乐凡萨瓶装,2018,NYSE,软饮料,20520,-,软饮料,20520010,71825456000,12.41,17.41,$52.88,非周期性消费,205,2.96,6214719,287120000,1.37,0.0,0,0.0,0.0,1,48.97,42.21,45.83,15.38,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1516885
TV,2021Q1_1516890,墨西哥电视,0,NYSE,传媒,30820,-,广播,30820030,47764284000,8.73,61.38,$13.21,通信服务,308,3.02,16879104,149549000,0.71,0.0,0,0.0,0.0,1,9.99,7.38,8.5,55.41,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1516890
GOOGL,2021Q1_1516880,谷歌,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,11184424851000,11.15,44.93,$2540.10,通信服务,308,0.0,21554,44456000,0.21,0.0,0,0.0,0.0,1,2118.62,1722.88,1975.79,28.56,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1516880
GOOG,2021Q1_1516881,谷歌,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,11184424851000,14.31,49.86,$2625.33,通信服务,308,0.0,21491,44457000,0.21,0.0,0,0.0,0.0,1,2128.31,1728.24,1986.11,32.18,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1516881
CCI,2021Q1_1516887,冠城,2014,NYSE,房地产信托投资基金,10420,-,REIT - 特种,10420080,564526724000,13.39,28.67,$202.17,房地产,104,1.18,5086680,875570000,4.18,-4.62,-246220,-0.18,0.18,1,175.03,146.77,160.26,26.15,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 4.62 %,2021Q1_1516887
CAT,2021Q1_1516884,卡特彼勒,2013,NYSE,农用和重型工程机械,31050,-,农用和重型工程机械,31050010,748222569000,-8.64,17.28,$211.41,工业,310,1.85,10156756,2355047000,11.24,-9.8,-1104101,-0.9,0.9,1,233.63,180.63,206.87,2.19,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 9.80 %,2021Q1_1516884
BRK.B,2021Q1_1516882,伯克希尔-哈撒韦,0,NYSE,保险,10340,-,多元化保险,10340060,4137067525000,3.93,20.64,$279.72,金融服务,103,1.62,37104399,9479061000,45.23,-11.88,-5000000,-5.19,5.19,1,263.99,227.36,242.84,15.19,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 11.88 %,2021Q1_1516882
CNI,2021Q1_1516883,加拿大铁路,1996,NYSE,交通运输,31080,-,铁路运输,31080030,483511547000,-10.05,-3.4,$105.12,工业,310,1.96,13907283,1612967000,7.7,-18.09,-3071985,-1.51,1.51,1,118.12,101.17,111.0,-5.3,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 18.09 %,2021Q1_1516883
