symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
AON,2021Q1_1519376,怡安保险,2003,NYSE,保险,10340,-,保险中介,10340050,337390477000,-2.0,9.92,$231.26,金融服务,103,1.82,4096146,942564000,0.35,10000.0,4096146,0.35,0.35,1,233.7,202.13,220.25,5.0,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1519376
KR,2021Q1_1519353,克罗格,2007,NYSE,零售 - 防守型,20550,-,杂货店,20550030,187646501000,4.92,23.43,$38.84,非周期性消费,205,6.83,51060296,1837660000,0.68,52.26,17526279,0.23,0.23,1,38.75,31.52,34.16,13.7,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 52.26 %,2021Q1_1519353
MMC,2021Q1_1519356,威达信集团,2006,NYSE,保险,10340,-,保险中介,10340050,463760298000,11.1,21.35,$141.05,金融服务,103,1.04,5287526,644021000,0.24,23.89,1019701,0.05,0.05,1,121.88,107.6,115.13,22.51,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 23.89 %,2021Q1_1519356
VZ,2021Q1_1519373,威讯,2000,NYSE,通信,30810,-,电信服务,30810010,1513708675000,-0.91,-0.54,$56.55,通信服务,308,3.84,158824575,9235649000,3.42,8.25,12108079,0.26,0.26,1,59.29,54.15,56.4,0.27,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 8.25 %,2021Q1_1519373
RH,2021Q1_1519362,RH,0,NYSE,零售,10280,-,特种零售,10280060,90729356000,8.62,49.21,$667.74,周期性消费,102,8.35,1756448,1047897000,0.39,1.38,23900,0.01,0.01,1,600.0,441.46,492.96,35.46,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.38 %,2021Q1_1519362
AAPL,2021Q1_1519340,苹果,2012,NAS,硬件,31120,-,消费类电子产品,31120030,16020088127000,10.56,12.22,$148.48,科技,311,5.32,887135554,108363609000,40.07,0.0,0,0.0,0.0,1,143.16,116.36,128.47,15.58,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1519340
BAC,2021Q1_1519341,美国银行,2009,NYSE,银行,10320,-,多元化银行,10320010,2130745583000,0.7,29.3,$38.83,金融服务,103,11.9,1010100606,39080793000,14.45,0.0,0,0.0,0.0,1,38.99,29.65,34.49,12.58,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1519341
AXP,2021Q1_1519339,美国运通,2015,NYSE,信贷,10360,-,信贷服务,10360010,897102632000,16.66,44.02,$172.85,金融服务,103,18.87,151610700,21443817000,7.93,0.0,0,0.0,0.0,1,150.27,114.09,132.09,30.86,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1519339
KO,2021Q1_1519347,可口可乐,1963,NYSE,软饮料,20520,-,软饮料,20520010,1573388052000,6.62,4.45,$56.44,非周期性消费,205,9.28,400000000,21083999000,7.8,0.0,0,0.0,0.0,1,53.85,48.15,50.34,12.12,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1519347
KHC,2021Q1_1519352,卡夫亨氏,2019,NAS,农副加工食品,20525,-,加工食品,20525040,311601106000,-2.97,16.07,$39.43,非周期性消费,205,26.62,325634818,13025393000,4.82,0.0,0,0.0,0.0,1,40.78,31.99,36.01,9.5,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1519352
MCO,2021Q1_1519360,穆迪,2001,NYSE,资本市场,10330,-,金融数据和交易所,10330020,453253244000,17.85,29.54,$374.75,金融服务,103,13.18,24669778,7366643000,2.72,0.0,0,0.0,0.0,1,306.97,263.04,281.57,33.09,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1519360
DVA,2021Q1_1519348,达维塔保健,0,NYSE,医疗机构和服务,20645,-,医疗机构,20645010,82207420000,9.07,2.05,$119.81,医疗保健,206,33.99,36095570,3890020000,1.44,0.0,0,0.0,0.0,1,123.89,99.98,111.01,7.93,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1519348
BK,2021Q1_1519342,纽约梅隆,2010,NYSE,资产管理,10310,-,资产管理,10310010,275353536000,2.04,16.16,$48.68,金融服务,103,8.26,72357453,3421785000,1.27,0.0,0,0.0,0.0,1,47.86,39.82,43.95,10.76,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1519342
CHTR,2021Q1_1519345,特许通讯,0,NAS,传媒,30820,-,娱乐,30820040,859888736000,10.84,6.56,$704.93,通信服务,308,2.76,5213461,3216810000,1.19,0.0,0,0.0,0.0,1,654.65,596.5,624.69,12.84,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1519345
