symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
SPGI,2021Q1_51907,标普全球,1986,NYSE,资本市场,10330,-,金融数据和交易所,10330020,640948231000,9.92,25.65,$411.52,金融服务,103,0.32,773456,272929000,5.99,10000.0,773456,5.99,5.99,1,361.74,305.95,332.91,23.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_51907
PDD,2021Q1_51895,拼多多,0,NAS,零售,10280,-,网络零售,10280050,897342730000,-16.35,-37.67,$110.74,周期性消费,102,0.11,1384779,185394000,4.07,10000.0,1384779,4.07,4.07,1,202.82,124.18,169.27,-34.58,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_51895
PTON,2021Q1_51900,Peloton Interactive Inc,0,NAS,旅游和娱乐,10290,-,娱乐,10290020,214290355000,-7.26,-26.71,$111.19,周期性消费,102,0.4,1193484,134195000,2.95,10000.0,1193484,2.95,2.95,1,167.42,101.35,133.02,-16.41,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_51900
TPGY,2021Q1_51891,TPG Pace Beneficial Finance Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,3586537000,-21.59,-52.42,$12.31,金融服务,103,11.0,4957302,97064000,2.13,10000.0,4957302,2.13,2.13,1,31.57,16.12,23.57,-47.77,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_51891
RAAS,2021Q1_51899,容联云通讯,0,NYSE,软件,31110,-,软件应用,31110020,6291386000,-47.42,0.0,$5.92,科技,311,0.74,1223835,16803000,0.37,10000.0,1223835,0.37,0.37,1,48.0,11.61,22.19,-73.32,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_51899
ARYD,2021Q1_51903,ARYA Sciences Acquisition Corp IV,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,1313493000,-4.53,0.0,$10.32,金融服务,103,5.21,1000000,10473000,0.23,10000.0,1000000,0.23,0.23,1,11.55,10.44,10.8,-4.44,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_51903
IMCR,2021Q1_51917,Immunocore Holdings PLC,0,NAS,生物科技,20610,-,生物科技,20610010,9428040000,-15.46,0.0,$33.30,医疗保健,206,0.32,138192,5883000,0.13,10000.0,138192,0.13,0.13,1,56.34,36.3,44.6,-25.34,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_51917
V,2021Q1_51897,维萨卡,2008,NYSE,信贷,10360,-,信贷服务,10360010,3533478032000,9.98,13.93,$248.55,金融服务,103,0.06,1305342,276380000,6.07,137.16,754942,3.51,3.51,1,226.15,193.25,210.49,18.08,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 137.16 %,2021Q1_51897
BEKE,2021Q1_51890,贝壳,0,NYSE,房地产,10410,-,房地产服务,10410020,300290889000,-23.89,-36.63,$39.00,房地产,104,0.54,6387128,363939000,7.99,92.72,3072931,3.84,3.84,1,76.69,47.08,62.93,-38.03,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 92.72 %,2021Q1_51890
TEAM,2021Q1_51906,Atlassian Corporation PLC,0,NAS,软件,31110,-,软件应用,31110020,419326737000,8.46,10.9,$259.36,科技,311,0.34,850680,179289000,3.94,86.57,394732,1.83,1.83,1,258.41,204.43,232.99,11.32,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 86.57 %,2021Q1_51906
