symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
TCOM,2021Q1_1063757,携程集团,0,NAS,旅游和娱乐,10290,-,旅游服务,10290050,130239366000,-12.47,-6.31,$31.60,周期性消费,102,0.13,799636,31690000,5.98,10000.0,799636,5.98,5.98,1,44.57,31.15,37.03,-14.66,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1063757
DQ,2021Q1_1063715,大全新能源,0,NYSE,半导体,31130,-,半导体仪器和材料,31130010,32715052000,1.74,20.0,$68.83,科技,311,0.11,80000,6040000,1.14,10000.0,80000,1.14,1.14,1,124.13,62.16,92.2,-25.35,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1063715
TUYA,2021Q1_1063758,涂鸦智能,0,NYSE,软件,31110,-,软件基础构架,31110030,74826572000,17.49,0.0,$20.69,科技,311,0.04,240500,5084000,0.96,10000.0,240500,0.96,0.96,1,25.12,19.15,21.92,-5.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1063758
TTD,2021Q1_1063754,The Trade Desk Inc,0,NAS,软件,31110,-,软件应用,31110020,221291671000,-2.05,-10.12,$71.99,科技,311,0.01,30920,2015000,0.38,10000.0,30920,0.38,0.38,10,90.34,61.26,77.43,-7.03,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1063754
ADSK,2021Q1_1063706,欧特克,0,NAS,软件,31110,-,软件应用,31110020,419337754000,-1.36,-3.46,$294.79,科技,311,0.0,4489,1244000,0.23,10000.0,4489,0.23,0.23,1,320.13,253.1,288.65,2.13,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1063706
SNPS,2021Q1_1063751,新思科技,0,NAS,软件,31110,-,软件基础构架,31110030,273923919000,5.93,7.11,$277.68,科技,311,0.0,4763,1180000,0.22,10000.0,4763,0.22,0.22,1,292.09,218.49,254.57,9.08,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1063751
CDNS,2021Q1_1063711,铿腾电子,0,NAS,软件,31110,-,软件应用,31110020,247293452000,-6.8,0.82,$137.55,科技,311,0.0,5343,732000,0.14,10000.0,5343,0.14,0.14,1,147.44,119.68,134.36,2.37,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1063711
BIDU,2021Q1_1063707,百度集团,0,NAS,交互式媒体,30830,-,互联网和相关服务,30830010,416819279000,-11.75,-14.21,$185.52,通信服务,308,0.02,65909,14339000,2.71,241.53,46611,1.92,1.92,1,339.91,203.97,261.9,-29.16,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 241.53 %,2021Q1_1063707
QQQ,2021Q1_1063729,纳百ETF,0,NAS,-,0,-,0,0,1164140312000,5.66,15.19,$360.52,-,0,0.0,10072,3214000,0.61,148.26,6015,0.36,0.36,1,336.03,299.56,319.4,12.87,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 148.26 %,2021Q1_1063729
BABA,2021Q1_1063700,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.01,250200,56728000,10.7,3.65,8811,0.38,0.38,1,270.83,222.72,245.98,-12.69,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 3.65 %,2021Q1_1063700
