symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
PPTA,2021Q1_1509093,Perpetua Resources Corp,0,NAS,金属与开采,10150,-,其他贵金属与开采,10150060,2265686000,-3.88,-29.58,$6.69,基础材料,101,40.32,20935732,159949000,3.67,10000.0,20935732,3.67,3.67,1,11.0,6.0,7.69,-13.0,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509093
MIK,2021Q1_1509087,The Michaels Companies Inc,0,NAS,零售,10280,-,特种零售,10280060,20361541000,33.39,68.87,$21.97,周期性消费,102,1.4,2000000,43880000,1.01,10000.0,2000000,1.01,1.01,1,22.02,13.13,17.63,24.62,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509087
TLND,2021Q1_1509102,Talend SA,0,NAS,软件,31110,-,软件基础构架,31110030,13797084000,2.46,70.84,$65.50,科技,311,1.99,650000,41366000,0.95,10000.0,650000,0.95,0.95,1,65.4,39.91,52.02,25.91,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1509102
ALXN,2021Q1_1509071,亚力兄制药,0,NAS,生物科技,20610,-,生物科技,20610010,257948840000,14.58,15.53,$180.51,医疗保健,206,0.63,1400000,214074000,4.92,460.0,1150000,4.04,4.04,1,161.75,148.19,154.75,16.65,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 460.00 %,2021Q1_1509071
TIMB,2021Q1_1509104,堤姆通信服务,2019,NYSE,通信,30810,-,电信服务,30810010,35936275000,6.34,-16.5,$11.48,通信服务,308,0.81,3900000,44265000,1.02,289.53,2898795,0.76,0.76,1,13.7,11.07,12.27,-6.44,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 289.53 %,2021Q1_1509104
OXY,2021Q1_1509091,西方石油,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,164333607000,9.57,57.42,$27.23,能源,309,0.32,3000000,79860000,1.83,153.16,1815000,1.11,1.11,1,31.23,17.45,25.02,8.83,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 153.16 %,2021Q1_1509091
XOM,2021Q1_1509081,埃克森美孚,2002,NYSE,石油与天然气,30910,-,石油与天然气 - 综合,30910030,1612429743000,4.98,47.23,$58.95,能源,309,0.02,1000000,55830000,1.28,76.99,435000,0.56,0.56,1,61.97,41.5,52.4,12.5,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 76.99 %,2021Q1_1509081
SD,2021Q1_1509096,SandRidge Energy Inc,0,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,1247743000,39.95,70.65,$5.29,能源,309,1.85,675751,2642000,0.06,1.38,9216,0.0,0.0,1,5.69,3.43,4.56,16.01,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1.38 %,2021Q1_1509096
BHC,2021Q1_1509074,Bausch Health Companies Inc,0,NYSE,医药制造,20620,-,专用医药制造,20620020,66301499000,-6.11,36.78,$28.45,医疗保健,206,7.21,25839035,820131000,18.83,0.0,0,0.0,0.0,1,34.38,21.37,29.36,-3.1,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1509074
HZNP,2021Q1_1509082,Horizon Therapeutics PLC,0,NAS,医药制造,20620,-,通用医药制造,20620010,136982549000,0.8,28.86,$94.26,医疗保健,206,3.56,7991440,735532000,16.89,0.0,0,0.0,0.0,1,95.48,71.83,84.49,11.56,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1509082
BSIG,2021Q1_1509075,BrightSphere Investment Group Inc,2020,NYSE,资产管理,10310,-,资产管理,10310010,12051948000,-1.43,21.94,$23.49,金融服务,103,25.21,20000552,407611000,9.36,0.0,0,0.0,0.0,1,21.39,18.1,19.71,19.18,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1509075
GLD,2021Q1_1509098,金价ETF,0,ARCA,-,0,-,0,0,392689037000,3.46,-4.09,$171.07,-,0,0.53,1894252,303005000,6.96,0.0,0,0.0,0.0,1,182.87,157.49,168.06,1.79,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1509098
NG,2021Q1_1509089,诺华黄金,0,AMEX,金属与开采,10150,-,金,10150040,17762150000,-15.62,-15.1,$8.21,基础材料,101,6.7,22226300,194702000,4.47,0.0,0,0.0,0.0,1,10.35,8.15,9.12,-9.98,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1509089
VTRS,2021Q1_1509106,迈兰制药,0,NAS,医药制造,20620,-,专用医药制造,20620020,108464394000,5.35,-25.35,$13.88,医疗保健,206,0.95,11478260,160351000,3.68,0.0,0,0.0,0.0,1,18.54,13.59,16.33,-15.0,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1509106
ENDP,2021Q1_1509077,远藤制药,0,NAS,医药制造,20620,-,专用医药制造,20620020,5260702000,-42.31,-51.39,$3.49,医疗保健,206,7.86,18327012,135803000,3.12,0.0,0,0.0,0.0,1,10.55,6.81,8.12,-57.02,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1509077
DISH,2021Q1_1509076,DISH Network Corp,2018,NAS,传媒,30820,-,娱乐,30820040,136167928000,5.86,23.41,$39.91,通信服务,308,0.69,3620750,131071000,3.01,0.0,0,0.0,0.0,1,38.97,29.02,33.26,19.99,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1509076
AU,2021Q1_1509072,Anglogold Ashanti Ltd,2018,NYSE,金属与开采,10150,-,金,10150040,54593204000,-8.0,-8.42,$20.25,基础材料,101,1.43,5974331,131256000,3.01,0.0,0,0.0,0.0,1,25.49,19.86,22.46,-9.84,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1509072
PCRX,2021Q1_1509092,Pacira BioSciences Inc,0,NAS,医药制造,20620,-,专用医药制造,20620020,15948792000,-15.48,-6.3,$56.07,医疗保健,206,3.21,1413854,99097000,2.28,0.0,0,0.0,0.0,1,78.82,59.31,71.52,-21.6,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_1509092
