symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
TRIP,2021Q1_1713215,猫途鹰,0,NAS,旅游和娱乐,10290,-,旅游服务,10290050,32070416000,-30.81,25.89,$36.23,周期性消费,102,3.64,4978359,267786000,0.66,10000.0,4978359,0.66,0.66,1,61.03,28.31,42.81,-15.37,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713215
SHLS,2021Q1_1713158,Shoals Technologies Group Inc,0,NAS,半导体,31130,-,太阳能,31130030,29720814000,-14.71,0.0,$27.59,科技,311,0.82,1372521,47736000,0.12,10000.0,1372521,0.12,0.12,1,40.17,30.36,35.48,-22.24,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713158
ACVA,2021Q1_1712872,ACV Auctions Inc,0,NAS,软件,31110,-,软件应用,31110020,20057903000,-45.45,0.0,$20.09,科技,311,0.9,1393825,48240000,0.12,10000.0,1393825,0.12,0.12,1,34.61,30.0,32.0,-37.22,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1712872
DRVN,2021Q1_1712974,Driven Brands Holdings Inc,0,NAS,汽车和配件,10200,-,汽车经销商,10200010,32081210000,14.61,0.0,$29.66,周期性消费,102,1.02,1700000,43214000,0.11,10000.0,1700000,0.11,0.11,1,34.5,22.79,28.48,4.14,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1712974
CPNG,2021Q1_1712957,Coupang Inc,0,NYSE,零售,10280,-,网络零售,10280050,472942655000,-7.75,0.0,$42.25,周期性消费,102,0.04,710335,35055000,0.09,10000.0,710335,0.09,0.09,1,50.45,43.29,46.22,-8.59,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1712957
DSEY,2021Q1_1712970,Diversey Holdings Ltd,0,NAS,个人服务,10260,-,个人服务,10260010,32078634000,14.69,0.0,$16.47,周期性消费,102,0.7,2099967,30891000,0.08,10000.0,2099967,0.08,0.08,1,15.08,14.64,14.87,10.76,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1712970
DSP,2021Q1_1713230,Viant Technology Inc,0,NAS,软件,31110,-,软件应用,31110020,7051995000,-53.95,0.0,$18.52,科技,311,0.98,577196,30528000,0.08,10000.0,577196,0.08,0.08,1,68.31,37.94,51.83,-64.27,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713230
TNL,2021Q1_1713213,Travel+Leisure Co,2020,NYSE,旅游和娱乐,10290,-,旅游服务,10290050,31471581000,-10.85,27.24,$56.48,周期性消费,102,0.56,485652,29702000,0.07,10000.0,485652,0.07,0.07,1,65.11,43.34,54.26,4.09,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713213
HUBS,2021Q1_1713030,HubSpot Inc,0,NYSE,软件,31110,-,软件应用,31110020,166257329000,3.72,38.92,$550.72,科技,311,0.13,60895,27659000,0.07,10000.0,60895,0.07,0.07,1,543.49,349.99,440.39,25.05,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713030
AVLR,2021Q1_1712911,Avalara Inc,0,NYSE,软件,31110,-,软件应用,31110020,81366501000,-2.99,-11.16,$146.49,科技,311,0.21,181527,24221000,0.06,10000.0,181527,0.06,0.06,1,179.78,123.33,154.53,-5.2,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1712911
FWAA,2021Q1_1713001,Fifth Wall Acquisition Corp I,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,3130774000,8.51,0.0,$10.97,金融服务,103,5.72,2527200,25272000,0.06,10000.0,2527200,0.06,0.06,1,11.17,0.0,10.27,6.82,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713001
ETWO,2021Q1_1712978,E2open Parent Holdings Inc,0,NYSE,软件,31110,-,软件基础构架,31110030,13675507000,5.56,-0.09,$10.83,科技,311,1.28,2500000,24900000,0.06,10000.0,2500000,0.06,0.06,1,11.78,8.85,10.23,5.87,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1712978
ACMR,2021Q1_1712869,A.C.Moore美工,0,NAS,半导体,31130,-,半导体仪器和材料,31130010,9541309000,-4.67,-4.32,$77.74,科技,311,1.37,260167,21019000,0.05,10000.0,260167,0.05,0.05,1,139.98,78.31,99.75,-22.07,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1712869
IACA.U,2021Q1_1713050,ION Acquisition Corp 1 Ltd,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,0,5.09,-7.78,$11.14,通信服务,308,0.0,1964104,20427000,0.05,10000.0,1964104,0.05,0.05,1,15.5,10.39,12.49,-10.81,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713050
BMBL,2021Q1_1712934,Bumble Inc,0,NAS,软件,31110,-,软件应用,31110020,38379492000,-17.81,0.0,$49.55,科技,311,0.25,300077,18719000,0.05,10000.0,300077,0.05,0.05,1,78.89,59.4,67.59,-26.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1712934
VSPR,2021Q1_1713229,Vesper Healthcare Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,4648317000,15.12,10.43,$12.49,金融服务,103,3.45,1981902,21405000,0.05,10000.0,1981902,0.05,0.05,1,11.53,10.25,11.0,13.55,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713229
TSIA,2021Q1_1713216,TS Innovation Acquisitions Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,2597252000,-3.48,7.02,$10.83,金融服务,103,4.53,1700002,18462000,0.05,10000.0,1700002,0.05,0.05,1,17.68,10.2,13.07,-17.14,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713216
WDAY,2021Q1_1713244,工时公司,0,NAS,软件,31110,-,软件应用,31110020,364969484000,-12.14,-4.55,$228.70,科技,311,0.03,75944,18867000,0.05,10000.0,75944,0.05,0.05,1,281.36,220.0,247.59,-7.63,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713244
BFLY,2021Q1_1712935,Butterfly Network Inc,0,NYSE,医疗器械,20650,-,医疗设备,20650010,13258650000,-30.39,0.0,$10.72,医疗保健,206,0.6,1150000,19124000,0.05,10000.0,1150000,0.05,0.05,1,27.14,16.05,19.3,-44.46,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1712935
RXRAU,2021Q1_1713147,RXR Acquisition Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-0.7,0.0,$9.98,金融服务,103,0.0,2009700,19796000,0.05,10000.0,2009700,0.05,0.05,1,10.03,9.79,9.94,0.4,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713147
TSIBU,2021Q1_1713206,Tishman Speyer Innovation Corp II,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,0.4,0.0,$10.12,金融服务,103,0.0,1381540,13843000,0.03,10000.0,1381540,0.03,0.03,1,10.88,9.96,10.31,-1.84,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713206
OLK,2021Q1_1713105,Olink Holding AB,0,NAS,医疗诊断和研究,20660,-,诊断和研究,20660010,25776256000,-11.61,0.0,$33.50,医疗保健,206,0.32,376695,13561000,0.03,10000.0,376695,0.03,0.03,1,36.0,31.9,33.69,-0.56,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713105
GOAC,2021Q1_1713014,GO Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,4546255000,-1.81,-3.93,$9.79,金融服务,103,1.87,1342700,13226000,0.03,10000.0,1342700,0.03,0.03,1,10.73,9.69,10.26,-4.58,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713014
MYTE,2021Q1_1713095,MYT Netherlands Parent BV,0,NYSE,零售,10280,-,奢侈品,10280040,15967243000,-4.22,0.0,$28.79,周期性消费,102,0.52,450000,12717000,0.03,10000.0,450000,0.03,0.03,1,34.5,25.01,30.9,-6.83,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713095
INNV,2021Q1_1713041,InnovAge Holding Corp,0,NAS,医疗机构和服务,20645,-,医疗机构,20645010,15999092000,-26.25,0.0,$18.26,医疗保健,206,0.37,500000,12895000,0.03,10000.0,500000,0.03,0.03,1,26.04,23.04,24.64,-25.89,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713041
SE,2021Q1_1713153,海洋互联网,0,NYSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,903107747000,7.49,35.06,$268.83,通信服务,308,0.01,35355,7892000,0.02,10000.0,35355,0.02,0.02,1,280.0,194.37,232.98,15.39,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713153
IACB.U,2021Q1_1713051,ION Acquisition Corp 2 Ltd,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,0,-3.13,0.0,$10.13,金融服务,103,0.0,997884,10139000,0.02,10000.0,997884,0.02,0.02,1,11.38,10.05,10.58,-4.22,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713051
WOOF,2021Q1_1713122,Petco Health and Wellness Co Inc,0,NAS,零售,10280,-,特种零售,10280060,38875628000,-10.45,0.0,$19.92,周期性消费,102,0.13,385000,8532000,0.02,10000.0,385000,0.02,0.02,1,29.4,19.08,23.85,-16.48,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713122
BEAM,2021Q1_1712915,金宾,0,NAS,生物科技,20610,-,生物科技,20610010,36189190000,15.95,4.79,$85.55,医疗保健,206,0.15,98017,7845000,0.02,10000.0,98017,0.02,0.02,1,120.75,71.28,95.29,-10.22,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1712915
SPFR,2021Q1_1713057,Jaws Spitfire Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,2765942000,-2.65,0.0,$9.92,金融服务,103,0.93,400000,4100000,0.01,10000.0,400000,0.01,0.01,1,11.79,10.15,10.88,-8.82,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713057
PSA,2021Q1_1713133,公共存储,1992,NYSE,房地产信托投资基金,10420,-,REIT - 工厂,10420030,354394576000,17.83,37.48,$313.48,房地产,104,0.0,2369,585000,0.0,10000.0,2369,0.0,0.0,1,247.99,213.82,232.87,34.62,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713133
OLO,2021Q1_1713107,Olo Inc,0,NYSE,软件,31110,-,软件应用,31110020,32055481000,23.34,0.0,$33.61,科技,311,0.0,5000,132000,0.0,10000.0,5000,0.0,0.0,1,34.75,26.39,30.05,11.85,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713107
WELL,2021Q1_1713238,Welltower Inc,2020,NYSE,房地产信托投资基金,10420,-,REIT - 医疗机构,10420010,239173895000,17.0,39.0,$88.60,房地产,104,0.0,11146,798000,0.0,10000.0,11146,0.0,0.0,1,74.55,59.79,67.16,31.92,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713238
HCA,2021Q1_1713020,HCA控股,2020,NYSE,医疗机构和服务,20645,-,医疗机构,20645010,470613053000,14.1,34.53,$220.29,医疗保健,206,0.0,9000,1695000,0.0,10000.0,9000,0.0,0.0,1,191.82,157.02,176.29,24.96,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713020
MTEM,2021Q1_1713090,Molecular Templates Inc,0,NAS,生物科技,20610,-,生物科技,20610010,2493458000,-21.01,-26.73,$6.88,医疗保健,206,0.08,45000,568000,0.0,10000.0,45000,0.0,0.0,1,14.05,9.33,11.73,-41.35,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713090
PGRE,2021Q1_1713113,Paramount Group Inc,2020,NYSE,房地产信托投资基金,10420,-,REIT - 办公楼,10420040,14255352000,-3.34,12.94,$10.07,房地产,104,0.03,71000,719000,0.0,10000.0,71000,0.0,0.0,1,10.36,8.63,9.38,7.36,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1713113
