symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
ZYME,2021Q1_1332962,Zymeworks Inc,0,NYSE,生物科技,20610,-,生物科技,20610010,10627042000,17.96,-24.67,$35.60,医疗保健,206,0.61,281018,8875000,0.66,10000.0,281018,0.66,0.66,1,56.81,29.83,40.65,-12.42,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332962
LUMN,2021Q1_1332946,世纪电信,2019,NYSE,通信,30810,-,电信服务,30810010,94408260000,6.48,40.72,$13.22,通信服务,308,0.06,650000,8678000,0.65,10000.0,650000,0.65,0.65,1,15.36,9.72,12.41,6.53,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332946
CVS,2021Q1_1332936,西维斯健康,1997,NYSE,医疗计划,20630,-,医疗计划,20630010,698602184000,8.96,21.63,$82.07,医疗保健,206,0.01,110000,8275000,0.62,10000.0,110000,0.62,0.62,1,76.3,68.13,72.86,12.64,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332936
TBT,2021Q1_1332953,债券20+美国债指数ETF-ProShares两倍做空,0,ARCA,-,0,-,0,0,9435714000,-12.64,7.73,$17.69,-,0,0.36,300000,6522000,0.49,10000.0,300000,0.49,0.49,1,22.34,16.47,19.37,-8.67,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332953
OXY,2021Q1_1332951,西方石油,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,164333607000,9.57,57.42,$27.23,能源,309,0.02,225000,5990000,0.45,10000.0,225000,0.45,0.45,1,31.23,17.45,25.02,8.83,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332951
HP,2021Q1_1332941,赫佩公司,2020,NYSE,石油与天然气,30910,-,石油与天然气 - 开采,30910010,20523062000,10.79,29.19,$29.42,能源,309,0.19,200000,5392000,0.4,10000.0,200000,0.4,0.4,1,33.19,23.14,27.63,6.48,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332941
PDS,2021Q1_1332952,Precision Drilling Corp,0,NYSE,石油与天然气,30910,-,石油与天然气 - 开采,30910010,3095463000,29.88,117.47,$35.86,能源,309,1.67,222706,4813000,0.36,10000.0,222706,0.36,0.36,1,27.86,16.58,22.68,58.11,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332952
MRNS,2021Q1_1332947,Marinus Pharmaceuticals Inc,0,NAS,生物科技,20610,-,生物科技,20610010,3813844000,12.12,31.97,$16.10,医疗保健,206,0.81,297272,4602000,0.34,10000.0,297272,0.34,0.34,1,18.62,11.81,14.48,11.19,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332947
MDP,2021Q1_1332948,梅瑞狄斯,2020,NYSE,传媒,30820,-,出版,30820020,12457404000,36.0,119.79,$42.20,通信服务,308,0.31,140000,4169000,0.31,10000.0,140000,0.31,0.31,1,36.96,18.93,26.36,60.09,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332948
GNK,2021Q1_1332939,根科船务贸易,2019,NYSE,交通运输,31080,-,水上运输,31080040,4864178000,58.87,144.84,$17.95,工业,310,0.85,354711,3575000,0.27,10000.0,354711,0.27,0.27,1,12.16,7.47,9.65,86.01,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1332939
