symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
CHK,2021Q1_1818261,切萨皮克能源,0,NAS,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,32109047000,10.55,0.0,$50.72,能源,309,12.19,11939117,518038000,8.59,10000.0,11939117,8.59,8.59,1.0,47.25,41.6,44.03,15.19,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1818261
SHLS,2021Q1_1818372,Shoals Technologies Group Inc,0,NAS,半导体,31130,-,太阳能,31130030,29720814000,-14.71,0.0,$27.59,科技,311,2.99,4977751,173126000,2.87,10000.0,4977751,2.87,2.87,1.0,40.17,30.36,35.48,-22.24,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1818372
KRC,2021Q1_1818317,吉劳埃地产,2010,NYSE,房地产信托投资基金,10420,-,REIT - 办公楼,10420040,53155453000,5.96,24.74,$70.60,房地产,104,0.78,910011,59724000,0.99,10000.0,910011,0.99,0.99,1.0,69.05,54.67,61.82,14.2,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1818317
HIMS,2021Q1_1818296,Hims & Hers Health Inc,0,NYSE,农副加工食品,20525,-,家庭生活用品,20525030,12107111000,-24.26,0.0,$9.77,非周期性消费,205,1.97,3773437,49923000,0.83,10000.0,3773437,0.83,0.83,1.0,24.46,12.62,16.89,-42.16,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1818296
FTAI,2021Q1_1818282,Fortress Transportation and Infrastructure Investo,2015,NYSE,商业服务,31020,-,租赁服务,31020030,16580972000,6.32,30.56,$29.97,工业,310,1.92,1643110,46319000,0.77,10000.0,1643110,0.77,0.77,1.0,31.64,21.89,26.21,14.35,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1818282
XOG,2021Q1_1818277,Extraction Oil & Gas Inc,0,NAS,石油与天然气,30910,-,石油与天然气 - 勘探与生产,30910020,8050929000,20.95,0.0,$48.26,能源,309,4.31,1113995,40036000,0.66,10000.0,1113995,0.66,0.66,1.0,35.95,26.96,32.54,48.31,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1818277
NYCBpU.PFD,2021Q1_1818338,New York Community Capital Trust V,0,NYSE,资产管理,10310,-,资产管理,10310010,0,2.57,12.98,$51.80,金融服务,103,0.0,89250,4462000,0.07,10000.0,89250,0.07,0.07,1.0,50.0,45.75,47.34,9.42,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1818338
SRNE,2021Q1_1818374,Sorrento Therapeutics Inc,0,NAS,生物科技,20610,-,生物科技,20610010,15238102000,6.45,16.04,$7.92,医疗保健,206,0.11,320000,2646000,0.04,10000.0,320000,0.04,0.04,1.0,16.51,7.03,10.62,-25.42,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1818374
IEA,2021Q1_1818302,Infrastructure and Energy Alternatives Inc,0,NAS,建筑,31040,-,土木工程和建筑,31040010,1876712000,-2.83,-29.45,$11.69,工业,310,1.74,431184,7028000,0.12,819.29,384280,0.11,0.11,1.0,23.42,13.01,18.07,-35.31,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 819.29 %,2021Q1_1818302
STKL,2021Q1_1818380,SunOpta Inc,0,NAS,农副加工食品,20525,-,加工食品,20525040,7606249000,-24.92,-4.97,$11.09,非周期性消费,205,19.65,20726126,306125000,5.08,156.11,12633427,3.1,3.1,1.0,16.52,11.19,14.35,-22.72,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 156.11 %,2021Q1_1818380
EQR,2021Q1_1818273,资产住宅公司,2016,NYSE,房地产信托投资基金,10420,-,REIT - 住宅,10420050,201236993000,16.05,42.42,$83.22,房地产,104,0.25,927000,66401000,1.1,94.34,450000,0.53,0.53,1.0,75.06,57.05,66.22,25.67,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 94.34 %,2021Q1_1818273
