symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
VIPS,2021Q1_1331521,唯品会,0,NYSE,零售,10280,-,网络零售,10280050,87447784000,-29.07,-30.02,$19.67,周期性消费,102,0.05,370000,11048000,2.69,10000.0,370000,2.69,2.69,1,45.58,27.42,34.47,-42.94,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1331521
JD,2021Q1_1331499,京东集团,0,NAS,零售,10280,-,网络零售,10280050,774722131000,-0.81,-12.56,$76.86,周期性消费,102,0.0,41000,3458000,0.84,10000.0,41000,0.84,0.84,1,106.88,78.71,91.81,-16.28,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1331499
GTH,2021Q1_1331493,泛生子基因,0,NAS,医疗诊断和研究,20660,-,诊断和研究,20660010,11089571000,-3.64,37.86,$19.30,医疗保健,206,0.04,35000,751000,0.18,10000.0,35000,0.18,0.18,1,30.64,13.71,23.01,-16.12,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1331493
LEGN,2021Q1_1331503,传奇生物,0,NAS,生物科技,20610,-,生物科技,20610010,36824978000,52.64,39.84,$39.38,医疗保健,206,0.01,15488,449000,0.11,10000.0,15488,0.11,0.11,1,32.4,23.55,27.24,44.57,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1331503
TUYA,2021Q1_1331519,涂鸦智能,0,NYSE,软件,31110,-,软件基础构架,31110030,74826572000,17.49,0.0,$20.69,科技,311,0.0,6973,148000,0.04,10000.0,6973,0.04,0.04,1,25.12,19.15,21.92,-5.61,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1331519
RAAS,2021Q1_1331491,容联云通讯,0,NYSE,软件,31110,-,软件应用,31110020,6291386000,-47.42,0.0,$5.92,科技,311,0.0,2038,28000,0.01,10000.0,2038,0.01,0.01,1,48.0,11.61,22.19,-73.32,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1331491
RLX,2021Q1_1331513,雾芯科技,0,NYSE,烟草制品,20560,-,烟草,20560010,73630612000,-21.62,0.0,$7.25,非周期性消费,205,0.0,417,4000,0.0,10000.0,417,0.0,0.0,1,29.51,8.94,19.34,-62.51,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_1331513
IMAB,2021Q1_1331497,天境生物,0,NAS,生物科技,20610,-,生物科技,20610010,36881726000,29.79,57.29,$74.16,医疗保健,206,0.44,336107,16291000,3.96,277.65,247107,2.91,2.91,1,63.97,44.38,54.31,36.55,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 277.65 %,2021Q1_1331497
TAL,2021Q1_1331517,好未来,0,NYSE,教育,20540,-,教育培训服务,20540010,91478371000,-61.62,-69.32,$21.94,非周期性消费,205,0.11,691384,37231000,9.06,158.58,424009,5.56,5.56,1,90.15,52.09,73.46,-70.13,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 158.58 %,2021Q1_1331517
BEKE,2021Q1_1331501,贝壳,0,NYSE,房地产,10410,-,房地产服务,10410020,300290889000,-23.89,-36.63,$39.00,房地产,104,0.0,8679,495000,0.12,144.41,5128,0.07,0.07,1,76.69,47.08,62.93,-38.03,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 144.41 %,2021Q1_1331501
